20141102 170018643,0.997650,0.988300,0
20141102 170019643,0.968100,0.968250,0
20141102 170030893,0.957600,0.988300,0
20141102 170031143,0.987700,0.998300,0
20141102 170036143,0.987650,0.988250,0
20141102 170039393,0.987600,0.988200,0
20141102 170043643,0.987600,0.988250,0
20141102 170043893,0.987650,0.988250,0
20141102 170044643,0.987700,0.988400,0
20141102 170044893,0.987750,0.988400,0
20141102 170045393,0.987700,0.988350,0
20141102 170045643,0.987650,0.988300,0
20141102 170045893,0.987700,0.988350,0
20141102 170100393,0.987650,0.988300,0
20141102 170105643,0.987700,0.988350,0
20141102 170107893,0.987710,0.988400,0
20141102 170108393,0.987800,0.988400,0
20141102 170110143,0.987750,0.988400,0
20141102 170112643,0.987650,0.988400,0
20141102 170113893,0.987710,0.988400,0
20141102 170114143,0.987800,0.988400,0
20141102 170115643,0.987650,0.988400,0
20141102 170118143,0.987750,0.988400,0
20141102 170126393,0.987710,0.988400,0
20141102 170126643,0.987800,0.988400,0
20141102 170136393,0.987700,0.988270,0
20141102 170137643,0.987700,0.988400,0
20141102 170137893,0.987650,0.988350,0
20141102 170138143,0.987750,0.988400,0
20141102 170143893,0.987610,0.988200,0
20141102 170144143,0.987610,0.988400,0
20141102 170144393,0.987750,0.988400,0
20141102 170145643,0.987700,0.988350,0
20141102 170205393,0.987650,0.988300,0
20141102 170205643,0.987700,0.988350,0
20141102 170214143,0.987750,0.988400,0
20141102 170216393,0.987700,0.988350,0
20141102 170223143,0.987750,0.988400,0
20141102 170226643,0.987700,0.988350,0
20141102 170236643,0.987750,0.988400,0
20141102 170242643,0.987750,0.988350,0
20141102 170245143,0.987700,0.988300,0
20141102 170247143,0.987720,0.988350,0
20141102 170251143,0.987750,0.988350,0
20141102 170251393,0.987720,0.988350,0
20141102 170259893,0.987750,0.988350,0
20141102 170301143,0.987700,0.988300,0
20141102 170303643,0.987720,0.988350,0
20141102 170307143,0.987730,0.988350,0
20141102 170307643,0.987720,0.988350,0
20141102 170308143,0.987700,0.988350,0
20141102 170308393,0.987700,0.988300,0
20141102 170311143,0.987750,0.988350,0
20141102 170311893,0.987800,0.988350,0
20141102 170313160,0.987750,0.988350,0
20141102 170313393,0.987800,0.988380,0
20141102 170315143,0.987750,0.988350,0
20141102 170323393,0.987730,0.988350,0
20141102 170323643,0.987750,0.988350,0
20141102 170323910,0.987750,0.988370,0
20141102 170324143,0.987750,0.988350,0
20141102 170324643,0.987700,0.988270,0
20141102 170333143,0.987700,0.988340,0
20141102 170333393,0.987750,0.988340,0
20141102 170335143,0.987750,0.988400,0
20141102 170340893,0.987720,0.988350,0
20141102 170341143,0.987710,0.988350,0
20141102 170341393,0.987700,0.988270,0
20141102 170341643,0.987710,0.988350,0
20141102 170345143,0.987700,0.988270,0
20141102 170345393,0.987710,0.988350,0
20141102 170346143,0.987730,0.988350,0
20141102 170347143,0.987700,0.988350,0
20141102 170348893,0.987650,0.988240,0
20141102 170350643,0.987660,0.988350,0
20141102 170350893,0.987700,0.988350,0
20141102 170353893,0.987700,0.988240,0
20141102 170354143,0.987660,0.988350,0
20141102 170354393,0.987700,0.988350,0
20141102 170359393,0.987700,0.988260,0
20141102 170359643,0.987700,0.988300,0
20141102 170359893,0.987690,0.988350,0
20141102 170400143,0.987700,0.988350,0
20141102 170408893,0.987750,0.988170,0
20141102 170409143,0.987580,0.988350,0
20141102 170409393,0.987600,0.988350,0
20141102 170415143,0.987670,0.988350,0
20141102 170415393,0.987700,0.988350,0
20141102 170416893,0.987550,0.988300,0
20141102 170425393,0.987580,0.988300,0
20141102 170425643,0.987650,0.988300,0
20141102 170436393,0.987600,0.988200,0
20141102 170436643,0.987590,0.988300,0
20141102 170436893,0.987650,0.988300,0
